Tumor Duke network  with 295 segments (582 subsegments with min. segment length  50.000000)												
990.000000 810.000000 150.000000 box dimensions in microns												
34 28 6 number of tissue points in x,y,z directions												
100	outer bound distance											
150	max. segment length											
4		maximum number of segments per node										
582	total number of segments											
SegName	Type	StartNode	EndNode	Diam	Flow[nl/min]	Hd						
217	5	5114	5115	20	1.691379	0.25567	*					
218	5	5115	5116	20	1.691379	0.25567	*					
219	5	5116	2654	20	1.691379	0.25567	*					
220	5	2654	2479	12.1	1.53788	0.274301	*					
221	5	2654	2672	18.5	0.153501	0.069019	*					
222	5	2491	5117	4.9	-0.268972	0.187796	*					
223	5	5117	2461	4.9	-0.268972	0.187796	*					
224	5	2479	1200	7.6	1.611973	0.262775	*					
225	5	2491	2457	5	0.194878	0.250288	*					
226	5	2457	2444	4.8	0.048868	0.045913	*					
227	5	2457	2458	6.3	0.14601	0.31866	*					
228	5	2458	5118	10.7	0.559323	0.403473	*					
229	5	5118	762	10.7	0.559323	0.403473	*					
230	5	2458	2461	4.7	-0.413313	0.433522	*					
231	5	762	757	10.5	0.197555	0.390699	*					
232	5	762	5119	16	0.361768	0.410448	*					
233	5	5119	772	16	0.361768	0.410448	*					
234	5	772	773	16	3.377288	0.399673	*					
235	5	772	1204	9.6	-3.01552	0.398379	*					
236	5	1204	2415	8.5	-1.950846	0.446695	*					
237	5	1204	1200	8.6	-1.064673	0.3098	*					
238	5	2415	5120	7.6	0.516554	0.223649	*					
239	5	5120	2430	7.6	0.516554	0.223649	*					
240	5	2415	1795	11.5	-2.4674	0.4	*					
241	5	1795	1800	9.5	-1.3796	0.4	*					
242	5	1795	1797	9.6	-1.0878	0.4	*					
243	5	2430	2434	5.5	0.171719	0.125337	*					
244	5	2430	1525	5.7	0.344835	0.272606	*					
245	5	1525	773	6.9	0.29519	0.317835	*					
246	5	1525	2444	5	0.049644	0.003893	*					
247	5	2434	5121	5.5	0.069865	0.075548	*					
248	5	5121	2517	5.5	0.069865	0.075548	*					
249	5	2434	5122	5.6	0.101854	0.159489	*					
250	5	5122	2529	5.6	0.101854	0.159489	*					
251	5	2529	2523	5.5	0.419008	0.056971	*					
252	5	2529	2517	5.5	-0.317154	0.024047	*					
253	5	2523	5123	6	0.273035	0.076122	*					
254	5	5123	631	6	0.273035	0.076122	*					
255	5	2523	5124	5.4	0.145973	0.021149	*					
256	5	5124	2452	5.4	0.145973	0.021149	*					
257	5	2452	5125	8.3	0.244485	0.022602	*					
258	5	5125	757	8.3	0.244485	0.022602	*					
259	5	2452	2444	4.7	-0.098512	0.024753	*					
260	5	631	5126	8	-0.491683	0.258429	*					
261	5	5126	619	8	-0.491683	0.258429	*					
262	5	631	632	13.5	0.764718	0.193339	*					
263	5	632	5127	18	-3.672478	0.393095	*					
264	5	5127	5128	18	-3.672478	0.393095	*					
265	5	5128	5129	18	-3.672478	0.393095	*					
266	5	5129	773	18	-3.672478	0.393095	*					
267	5	632	636	20	4.437196	0.358665	*					
268	5	636	325	20	4.879236	0.343114	*					
269	5	636	5130	8.8	-0.44204	0.187126	*					
270	5	5130	757	8.8	-0.44204	0.187126	*					
